ID1,ID2,Weight
brn,rnb,1
brn,gbb,3
brn,nbg,9
brn,rng,3
brn,nrb,2
brn,rbr,1
brn,bgn,2
brn,bgr,6
oon,rnb,1
oon,grg,1
oon,rng,5
oon,rgn,2
oon,ggg,3
oon,rbr,2
oon,grb,10
oon,grr,1
oon,gpn,2
rnb,grb,1
rnb,oon,3
rnb,gpn,3
rnb,rng,1
rnb,rgn,3
brr,oon,4
brr,rnb,1
brr,bbb,1
brr,gbb,1
brr,grg,3
brr,rgn,1
brr,grb,2
brr,bng,1
bbb,grb,3
bbb,grg,1
bbb,rbr,2
bbb,rng,2
gbb,oon,6
gbb,rnb,2
gbb,brr,7
gbb,bbb,4
gbb,grg,3
gbb,rng,5
gbb,ggg,3
gbb,nrb,5
gbb,rbr,1
gbb,grb,4
gbb,bng,1
nbg,oon,1
nbg,bbb,2
nbg,gbb,4
nbg,grg,1
nbg,rng,2
nbg,nrb,1
nbg,grb,2
grg,brr,1
grg,rbr,1
grg,rng,1
rng,bbb,2
rng,grg,1
rng,rgn,1
rng,ggg,1
rng,rbr,3
rng,bng,1
ggg,bgn,1
ggg,bng,2
ggg,grg,1
ggg,oon,2
ggg,rng,3
nrb,oon,7
nrb,bbb,9
nrb,grg,2
nrb,grb,1
nrb,bng,1
nrb,grr,2
rbr,rnb,1
rbr,bbb,2
rbr,rgn,2
grb,bbb,2
grb,grg,1
grb,rng,1
grb,ggg,1
grb,rbr,1
grb,bng,1
grb,grr,2
bgn,oon,2
bgn,bbb,2
bgn,rng,1
bgn,rgn,1
bgn,ggg,2
bgn,bng,1
bng,oon,3
bng,rnb,1
bng,brr,1
bng,bbb,1
bng,grg,4
bng,rng,3
bng,rgn,1
bng,ggg,1
bng,nrb,3
bng,rbr,1
bng,grb,2
bng,grr,5
grr,rnb,2
grr,rbr,1
bgr,gpn,2
bgr,brr,1
bgr,bbb,5
rrr,oon,1
rrr,brr,2
rrr,bbb,3
rrr,gbb,2
rrr,ggg,1
rrr,nrb,1
rrr,rbr,2
rrr,bng,1
rrr,gpn,2
ryn,oon,1
ryn,bbb,1
ryn,gbb,3
ryn,nbg,31
ryn,rng,1
ryn,nrb,1
ryn,bng,1
ryn,bgr,27
